Center Lat,Min Lat,Max Lat,Center Lon,Min Lon,Max Lon,row index (1-based),column index (1-based)
39.36217,39.30666,39.41770,-123.87273,-123.94453,-123.80091,1,49
39.36607,39.31054,39.42159,-123.72910,-123.80091,-123.65726,1,50
39.36975,39.31423,39.42529,-123.58543,-123.65726,-123.51360,1,51
39.37322,39.31770,39.42877,-123.44177,-123.51360,-123.36992,1,52
39.37652,39.32099,39.43206,-123.29807,-123.36992,-123.22622,1,53
39.37961,39.32408,39.43516,-123.15437,-123.22622,-123.08251,1,54
39.38250,39.32697,39.43805,-123.01065,-123.08251,-122.93879,1,55
39.38520,39.32965,39.44075,-122.86693,-122.93879,-122.79506,1,56
39.38768,39.33214,39.44324,-122.72319,-122.79506,-122.65131,1,57
39.38998,39.33443,39.44553,-122.57944,-122.65131,-122.50755,1,58
39.39206,39.33652,39.44763,-122.43567,-122.50755,-122.36378,1,59
39.39396,39.33841,39.44952,-122.29190,-122.36378,-122.22002,1,60
39.39565,39.34010,39.45122,-122.14813,-122.22002,-122.07623,1,61
39.39714,39.34159,39.45271,-122.00433,-122.07623,-121.93243,1,62
39.39845,39.34289,39.45400,-121.86053,-121.93243,-121.78864,1,63
39.39953,39.34398,39.45510,-121.71674,-121.78864,-121.64484,1,64
39.40043,39.34487,39.45600,-121.57294,-121.64484,-121.50104,1,65
39.40112,39.34556,39.45669,-121.42914,-121.50104,-121.35722,1,66
39.40162,39.34606,39.45719,-121.28531,-121.35722,-121.21341,1,67
39.40192,39.34636,39.45748,-121.14151,-121.21341,-121.06960,1,68
39.40202,39.34646,39.45759,-120.99770,-121.06960,-120.92579,1,69
39.40191,39.34635,39.45748,-120.85388,-120.92579,-120.78197,1,70
39.40161,39.34605,39.45718,-120.71007,-120.78197,-120.63816,1,71
39.40111,39.34555,39.45667,-120.56625,-120.63816,-120.49435,1,72
39.40041,39.34485,39.45597,-120.42245,-120.49435,-120.35056,1,73
39.39951,39.34395,39.45507,-120.27866,-120.35056,-120.20676,1,74
39.39840,39.34285,39.45396,-120.13486,-120.20676,-120.06296,1,75
39.39711,39.34155,39.45266,-119.99106,-120.06296,-119.91916,1,76
39.39561,39.34005,39.45117,-119.84726,-119.91916,-119.77538,1,77
39.39390,39.33835,39.44946,-119.70349,-119.77538,-119.63161,1,78
39.39200,39.33645,39.44756,-119.55972,-119.63161,-119.48784,1,79
39.38991,39.33436,39.44546,-119.41595,-119.48784,-119.34408,1,80
39.38761,39.33206,39.44316,-119.27220,-119.34408,-119.20033,1,81
39.38511,39.32957,39.44066,-119.12846,-119.20033,-119.05660,1,82
39.38241,39.32687,39.43796,-118.98474,-119.05660,-118.91288,1,83
39.37952,39.32398,39.43506,-118.84102,-118.91288,-118.76917,1,84
39.37642,39.32089,39.43197,-118.69733,-118.76917,-118.62547,1,85
39.37313,39.31760,39.42867,-118.55362,-118.62547,-118.48179,1,86
39.36963,39.31411,39.42517,-118.40996,-118.48179,-118.33813,1,87
